"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
79,"Черкаська","місцеве","Червонохиженський","заказник","ботанічний",20,"Ріш. Обл. ради від 28.04.93 р. № 14-21","Мельниківська сільська рада","Чорнобаївський район, Червонохиженська балка бл. 800 м від дороги Золотоноша-Іркліїв"
80,"Черкаська","місцеве","Козацьке","заказник","гідрологічний",41.5,"Ріш. Обл. ради від 28.12.2010 № 3 - 11/VI","Остапівська сільська рада","Драбівський район, адмінмежі Остапівської сільської ради"
81,"Черкаська","місцеве","Заплавський","заказник","гідрологічний",91.7,"Ріш. ОВК від 14.04.83 р. № 205","Великохутірська сільська рада","Драбівський район, с.Великий Хутір"
82,"Черкаська","місцеве","Степанківський","заказник","гідрологічний",28.4,"Ріш. ОВК від 14.04.83 р. № 205","Степанівська сільська рада","Драбівський район, с.Степанівка"
83,"Черкаська","місцеве","Білоусівський","заказник","гідрологічний",147.3,"Ріш. Обл. ради від 21.12.07.р. № 14-19/V","Білоусівська сільська рада","В адмінмежах Білоусівської сільської ради Драбівського району"
84,"Черкаська","місцеве","Старорічище","заказник","гідрологічний",37.8,"Ріш. Обл. ради від 07.08.08.р. № 20-16/V","Митлашівська сільська рада","В адмінмежах Митлашівської сільської ради Драбівського району"
85,"Черкаська","місцеве","Свічківський","заказник","гідрологічний",19.2,"Ріш. Обл. ради від 28.08.09 р. № 28-8/V","Свічківська сільська рада","В адмінмежах Свічківської сільської ради Драбівського району"
86,"Черкаська","місцеве","Конельське болото","заказник","гідрологічний",600,"Ріш. ОВК від 28.11.79 р. № 597","ТОВ мисливців та рибалок Жашківське","Жашківський район, с.Конельська Попівка"
87,"Черкаська","місцеве","Лебедине озеро","заказник","гідрологічний",200,"Ріш. ОВК від 14.04.83 р. № 205","Соколівська сільська рада","Жашківський район, с.Соколівка"
88,"Черкаська","місцеве","Охматівський","заказник","гідрологічний",130,"Ріш. ОВК від 28.11.79 р. № 597","ТОВ мисливців та рибалок Жашківське","Жашківський район, с.Охматів"
89,"Черкаська","місцеве","Сабадашківський","заказник","гідрологічний",52.4,"Рішення ОР від 10.11.06 № 5-9/У","Сабадашківська сільська рада","с.Сабадаш"
90,"Черкаська","місцеве","Острожанський","заказник","гідрологічний",31.3,"Ріш. Обл. ради від 15.11.07.р. № 13-17/V","Острожанська сільська рада","Жашківський район, с.Острожани"
91,"Черкаська","місцеве","Курячий","заказник","гідрологічний",13,"Ріш. Обл. ради від 28.12.2010 № 3 - 11/VI","Тарасівська сільська рада","Звенигородський район, с. Тарасівка"
92,"Черкаська","місцеве","Тарасів Яр","заказник","гідрологічний",29.4,"Ріш. Обл. ради від 28.12.2010 № 3 - 11/VI","Моринська сільська рада","Звенигородський район, с. Моринці"
93,"Черкаська","місцеве","Михайлівський","заказник","гідрологічний",2.5,"Ріш. Обл. ради від 28.12.2010 № 3 - 11/VI","Боровиківська сільська рада","Звенигородський район, адмінмежі Боровиківської сільської ради"
94,"Черкаська","місцеве","Банихівський","заказник","гідрологічний",19,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Вільхівецька сільська рада","Звенигородський район, с.Вільхівець"
95,"Черкаська","місцеве","Барабашківський","заказник","гідрологічний",3,"Ріш. ОВК від 28.11.79 р. № 597","Рижанівська ветеринарна лікарня","Звенигородський район, с.Рижанівка"
96,"Черкаська","місцеве","Бучиківський","заказник","гідрологічний",8.4,"Ріш. ОВК від 28.11.79 р. № 597","ДП Звенигородський лісгосп","Звенигородський район, кв. 45 вид. 1 Хлипнівського л-ва"
97,"Черкаська","місцеве","Гільків","заказник","гідрологічний",21.4,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Фермер Мельник В.П.","Звенигородський район, с.Вільхівець"
98,"Черкаська","місцеве","Графський","заказник","гідрологічний",10.7,"ріш. обл. ради від 03.07.02 № 2-8","Релігійна громада церкви Євангель-ських Християн Бабтистів с.Рижанівка","Звенигородського району, с.Рижанівка"
99,"Черкаська","місцеве","Губський","заказник","гідрологічний",5.4,"Ріш. ОВК від 28.11.79 р. № 597","ДП Звенигородський лісгосп","Звенигородський район, кв. 40 вид. 6, кв. 41 вид. 12 Хлипнівського л-ва"
100,"Черкаська","місцеве","Гудзівський","заказник","гідрологічний",7.8,"Ріш. Обл. ради від 23.12.98 р. № 5-3","СПД Каюк Я.А.","м. Звенигородка"
101,"Черкаська","місцеве","Гризлове","заказник","гідрологічний",1.4,"Ріш. Обл. ради від 23.12.98 р. № 5-3","СТОВ ім. Ватутіна","Звенигородський район, с.Юрківка"
102,"Черкаська","місцеве","Джерело","заказник","гідрологічний",0.9,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Шевченківська сільська рада","Звенигородський район,с. Шевченкове"
103,"Черкаська","місцеве","Заобрудомський","заказник","гідрологічний",6.9,"Ріш. ОВК від 28.11.79 р. № 597","Водяницька сільська рада","Звенигородський район, с. Водяники"
104,"Черкаська","місцеве","Звенигора","заказник","гідрологічний",22.2,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Гудзівська сільська рада","Звенигородський район, с. Гудзівка"
105,"Черкаська","місцеве","Курниковий","заказник","гідрологічний",1.4,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Чижівська сільська рада","Звенигородський район, с.Чижівка"
106,"Черкаська","місцеве","Мельників","заказник","гідрологічний",40.2,"Ріш. Обл. ради від 23.12.98 р. № 5-3","СФГ Полянаголова – Вареник А.А.","Звенигородський район, с.Гусакове"
107,"Черкаська","місцеве","Мизинівський","заказник","гідрологічний",77.9,"Ріш. ОВК від 28.11.79 р. № 597","Мизинівська сільська рада","Звенигородський район, с.Мизинівка"
108,"Черкаська","місцеве","Морин","заказник","гідрологічний",5.1,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Моринська сільська рада","Звенигородський район, с. Моринці"
109,"Черкаська","місцеве","Мурзинівський","заказник","гідрологічний",31.8,"Ріш. ОВК від 28.11.79 р. № 597","Неморожська сільська рада","Звенигородський район, с. Мурзинці"
110,"Черкаська","місцеве","Наливайкове","заказник","гідрологічний",0.3,"Ріш. Обл. ради від 08.04.00 р. № 15-4","Моринська сільська рада","Звенигородський район, с.Моринці"
111,"Черкаська","місцеве","Низівський","заказник","гідрологічний",6.9,"Ріш. ОВК від 28.11.79 р. № 597","СТОВ Злагода","Звенигородський район, с. Кобиляки"
112,"Черкаська","місцеве","Обарівшинський","заказник","гідрологічний",50.1,"Ріш. ОВК від 28.11.79 р. № 597","Вільхівецька сільська рада","Звенигородський район, с. Вільхівець"
113,"Черкаська","місцеве","Озеро","заказник","гідрологічний",3.8,"Ріш. Обл. ради від 23.12.98 р. № 5-3","Шевченківська сільська рада","Звенигородський район,с. Шевченкове"
114,"Черкаська","місцеве","Панський","заказник","гідрологічний",22,"Ріш. ОВК від 28.11.79 р. № 597","СФГ Яблунька","Звенигородський район,с. Михайлівка"
115,"Черкаська","місцеве","Питовник","заказник","гідрологічний",0.9,"Рішення ОР від 10.11.06 № 5-9/У","Козацька сільська рада","с.Козацьке"
116,"Черкаська","місцеве","Попівський","заказник","гідрологічний",7,"Ріш. ОВК від 28.11.79 р. № 597","Рижанівська сільська рада","Звенигородський район, с. Рижанівка"
117,"Черкаська","місцеве","Приворотський","заказник","гідрологічний",12,"Ріш. ОВК від 28.11.79 р. № 597","ДП Звенигородське ЛГ","Звенигородський район, кв. 47 вид. 1 Вільхівецького л-ва"
118,"Черкаська","місцеве","Птахоферма","заказник","гідрологічний",1.5,"Рішення ОР від 10.11.06 № 5-9/У","Козацька сільська рада","Звенигородський район, с. Козацьке"
119,"Черкаська","місцеве","Рудьково","заказник","гідрологічний",3.5,"Рішення ОР від 10.11.06 № 5-9/У","Козацька сільська рада","Звенигородський район, с. Козацьке"
120,"Черкаська","місцеве","Свяченський","заказник","гідрологічний",7,"Ріш. ОВК від 28.11.79 р. № 597","Тарасівська сільська рада","Звенигородський район, с. Тарасівка"
121,"Черкаська","місцеве","Сколиватський","заказник","гідрологічний",5.2,"Ріш. ОВК від 28.11.79 р. № 597","ДКВП Водока-нал м. Ватутіно","Звенигородський район, м.Ватутіно"
122,"Черкаська","місцеве","Скороходівський","заказник","гідрологічний",15,"Ріш. ОВК від 28.11.79 р. № 597","Тарасівська сільська рада","Звенигородський район, с. Ново-Українка"
123,"Черкаська","місцеве","Старобудівський","заказник","гідрологічний",20.8,"Ріш. ОВК від 28.11.79 р. № 597","Мизинівська сільська рада","Звенигородський район, с.Стара Буда"
124,"Черкаська","місцеве","Стецівський","заказник","гідрологічний",50,"Ріш. ОВК від 28.11.79 р. № 597","Стецівська сільська рада","Звенигородський район, с. Стецівка"
125,"Черкаська","місцеве","Хуторянський","заказник","гідрологічний",24.9,"Ріш. Обл.. ради від 23.12.98 р. № 5-3","Попівська сільська рада","Звенигородський район, с. Попівка"
