"id","oblast","importance","name","category","type","area.ha","desig.decision","operator","location"
53,"Кіровоградська","місцеве","Балка Глибока","заказник","ландшафтний",26.4,"Рішенням Кіровоградської обласної ради № 600 від 19.12.2008 року.","Новгородківська районна державна адміністрація","Новгородківський район,с. поблизу Спасове"
54,"Кіровоградська","місцеве","Балка Лебедина","заказник","ландшафтний",84.3,"Рішенням Кіровоградської обласної ради № 600 від 19.12.2008 року.","Новгородківська районна державна адміністрація","Новгородківський район,с. поблизу Спасове"
55,"Кіровоградська","місцеве","Зелений сосновий масив в районі","заказник","ландшафтний",30,"Рішенням Кіровоградської обласної ради № 721 від 19.06.2009 р.","Кіровоградська міська рада КП Трест зеленого господарства","м. Кіровоград вул. Лісопаркова"
56,"Кіровоградська","місцеве","Березівське гирло","заказник","ландшафтний",17,"Рішенням Кіровоградської обласної ради № 722 від 19.06.2009 р.","Устинівська районна державна адміністрація","Устинівський район, поблизу с. Березівка"
57,"Кіровоградська","місцеве","Скалки","заказник","ландшафтний",30,"Рішенням Кіровоградської обласної ради № 722 від 19.06.2009 р.","Ульяновська районна державна адміністрація","Ульяновський район, поблизу с. Йосипівка"
58,"Кіровоградська","місцеве","Голоче","заказник","ландшафтний",3717,"Рішенням Кіровоградської обласної ради № 764 від 25.09.2009 р.","ДП Голованівський лісгосп","Голованівський район, кв. 1-55 кв. 56 вид. 1-4 Голочанського лісництва"
59,"Кіровоградська","місцеве","Зелена брама","заказник","ландшафтний",2948,"Рішенням Кіровоградської обласної ради № 764 від 25.09.2009 р.","ДП Оникіївський лісгосп","Новоархангельський район, квартали 57-155 Торговицького лісництва"
60,"Кіровоградська","місцеве","Казавчинські скелі","заказник","ландшафтний",55,"Рішенням Кіровоградської обласної ради № 851 від 22.01.2010 р.","Гайворонська районна державна адміністрація","Гайворонський район с. Казавчин"
61,"Кіровоградська","місцеве","Тернова балка","заказник","ландшафтний",57,"Рішенням Кіровоградської обласної ради № 851від 22.01.2010 р.","Бобринецька районна державна адміністрація","Бобринецький район с. Олексіївка"
62,"Кіровоградська","місцеве","Квіти на скелях","заказник","ландшафтний",5,"Рішенням Кіровоградської обласної ради № 897 від 26.10.2010 р.","Новоукраїнська районна державна адміністрація","Новоукраїнський район,"
63,"Кіровоградська","місцеве","Громадське","заказник","ландшафтний",116,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Новгородківська районна державна адміністрація","Новгородківський район"
64,"Кіровоградська","місцеве","Чайчина балка","заказник","ландшафтний",45.9,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Новгородківська районна державна адміністрація","Новгородківський район"
65,"Кіровоградська","місцеве","Косюрівський","заказник","ландшафтний",18,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Новоукраїнська районна державна адміністрація","Новоукраїнський район"
66,"Кіровоградська","місцеве","Малі Байраки","заказник","ландшафтний",28,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Новоукраїнська районна державна адміністрація","Новоукраїнський район"
67,"Кіровоградська","місцеве","Калинова балка","заказник","ландшафтний",35,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Новоукраїнська районна державна адміністрація","Новоукраїнський район"
68,"Кіровоградська","місцеве","Бандурівський","заказник","ландшафтний",200,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Олександрійська районна державна адміністрація","Олександрійський район"
69,"Кіровоградська","місцеве","Гренівський","заказник","ландшафтний",208.53,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Ульяновська районна державна адміністрація","Ульяновський район"
70,"Кіровоградська","місцеве","Кам’яногірський","заказник","ландшафтний",293.13,"Рішенням Кіровоградської міської ради від 19.08.2011 р. № 183","Ульяновська районна державна адміністрація","Ульяновський район"
71,"Кіровоградська","місцеве","Прозорова балка","заказник","ландшафтний",24.6,"Рішенням Кіровоградської міської ради від 27.07.2012 р. № 337","Новгородківська районна державна адміністрація","Новгородківський район біля с. Петрокорбівка"
72,"Кіровоградська","місцеве","Діброва нащадків","заказник","ландшафтний",10,"Рішенням Кіровоградської міської ради від 27.07.2012 р. № 337","Новоукраїнська районна державна адміністрація","Новоукраїнський район"
73,"Кіровоградська","місцеве","Кошарово-Олександрівський","заказник","ландшафтний",228.83,"Рішенням Кіровоградської міської ради від 27.07.2012 р. № 337","Ульяновська районна державна адміністрація","Ульяновський район"
74,"Кіровоградська","місцеве","Велика балка","заказник","ландшафтний",118.8,"Рішення Кіровоградської обласної ради від 15.02.2013 №443","Бобринецька районна державна адміністрація","Бобринецький район"
75,"Кіровоградська","місцеве","Садове","заказник","ландшафтний",72.2,"Рішення Кіровоградської обласної ради від 15.02.2013 №443","Бобринецька районна державна адміністрація","Бобринецький район"
76,"Кіровоградська","місцеве","Новомиколаївська долина","заказник","ландшафтний",47.5,"Рішення Кіровоградської обласної ради від 15.02.2013 №443","Новгородківська районна державна адміністрація","Новгородівський район"
77,"Кіровоградська","місцеве","Гардова","заказник","ландшафтний",195.21,"Рішення Кіровоградської обласної ради від 15.02.2013 №443","Ульяновська районна державна адміністрація","Ульяновський район"
78,"Кіровоградська","місцеве","Балка Бонче","заказник","лісовий",62,"Рішенням Кіровоградської обласної ради №56 від 21.02.1991р.","Новомиргородське лісництво ДП Оникіївський лісгосп ","Новомиргородський, поблизу с.Оситняжка"
79,"Кіровоградська","місцеве","Коробчино","заказник","лісовий",48.1,"Рішенням Кіровоградської обласної ради №56 від 21.02.1991р","Новомиргородське лісництво ДП Оникіївський лісгосп ","Новомиргородський, поблизу с.Коробчино"
80,"Кіровоградська","місцеве","Ліс Охотовича","заказник","лісовий",60,"Рішенням Кіровоградської обласної ради №56 від 21.02.1991р","Новомиргородське лісництво ДП Оникіївський лісгосп ","Новомиргородський, поблизу с.Каніж"
81,"Кіровоградська","місцеве","Луки","заказник","лісовий",65,"Рішенням Кіровоградської обласної ради №56 від 21.02.1991р","Новомиргородське лісництво ДП Оникіївський лісгосп ","Новомиргородський, поблизу с.Оситняжка"
82,"Кіровоградська","місцеве","Окіп","заказник","лісовий",95,"Рішенням Кіровоградської обласної ради №56 від 21.02.1991р","Новомиргородське лісництво ДП Оникіївський лісгосп ","Новомиргородський, поблизу с.Оситняжка"
83,"Кіровоградська","місцеве","Новомиргородське-1","заказник","лісовий",249,"Рішенням Кіровоградської обласної ради № 851 від 22.01.2010 р.","ДП Олександрівський лісгосп","Новомиргородський район, Новомиргородське лісництво: кв. 31-33, 39-41"
84,"Кіровоградська","місцеве","Новомиргородське-2","заказник","лісовий",523,"Рішенням Кіровоградської обласної ради № 851 від 22.01.2010 р.","ДП Олександрівський лісгосп","Новомиргородський район Новомиргородське лісництво: кв. 34-37, кв. 42-46"
85,"Кіровоградська","місцеве","Братолюбівська балка","заказник","загальнозоологічний",40.3,"Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.","Долинська районна державна адміністрація","Долинський р-н, поблизу с..Братолюбівка"
