№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
4.;Дуб на «Інтенсивці» ;пам`ятка природи;ботанічна;;м. Херсон, вул. Р. Люксембург, 23;Херсонський державний аграрний університет;Рішення облвиконкому             від 19.08.83 р. №441/16
5.;Бехтерський дубовий гай;пам`ятка природи;ботанічна;3;південно-східна околиця с. Бехтери, Голопристанський район;Бехтерська сільська рада;Рішення облвиконкому             від 19.08.83 р. №441/16
6.;Віковий дуб;пам`ятка природи;ботанічна;;м. Херсон, вул. Ломоносова, 75;Самостійна державна пожежна частина №3 Комсомольського району м. Херсон ;Рішення облвиконкому             від 19.08.83 р. №441/16
7.;Дуб черешчатий;пам`ятка природи;ботанічна;;м. Херсон, вул. Декабристів, 31;ЖЕУ-2 міськжитло-комунгоспу(переоформляється охоронне зобов’язання);Рішення облвиконкому             від 19.08.83 р. №441/16
8.;Дуб черешчатий;пам`ятка природи;ботанічна;;м. Херсон, вул. Леніна, 18;Обласний шахматно-шашечний центр;Рішення облвиконкому             від 19.08.83 р. №441/16
9;Дуб черешчатий;пам`ятка природи;ботанічна;;м. Гола Пристань, вул. Маркса,10;Районна станція юних натуралістів;Рішення сесії                     23 скликання обласної ради від 08.04.99р. №81
10.;Вікові сосни;пам`ятка природи;ботанічна;;околиця м. Гола Пристань ;ДП «Голопристанське ЛМГ» ;Рішення облвиконкому             від 19.08.83 р. №441/16
11.;Вікові дуби (6);пам`ятка природи;ботанічна;;центральний парк м. Гола Пристань, вул. Лермонтова, 21;КП «Комунальник»;Рішення облвиконкому             від 19.08.83 р. №441/16
12.;Дуб черешчатий;пам`ятка природи;ботанічна;;Херсон, вул. Полтавська,89;Херсонський ліцейХерсонської обласної ради;Рішення облвиконкому             від 19.08.83 р. №441/16
13.;Деревостій акації білої;пам`ятка природи;ботанічна;3;кв.19 вид. 10Дослідного лісництва Державного  підприємства «Степовий ім. В.М. Виноградова філіал УкрНДІЛГА» Цюрупинський район;Державне підприємство «Степовий                           ім. В.М. Виноградова філіал УкрНДІЛГА»                 ;Рішення облвиконкому             від 19.08.83 р. №441/16
14.;Куртина вікових дубів;пам`ятка природи;ботанічна;0,1;кв.12 вид. 11Дослідного лісництва Державного  підприємства «Степовий ім. В.М. Виноградова філіал УкрНДІЛГА» Цюрупинський район;Державне підприємство «Степовий                           ім. В.М. Виноградова філіал УкрНДІЛГА»                 ;Рішення облвиконкому             від 19.08.83 р. №441/16
15.;Дуб черешчатий;пам`ятка природи;ботанічна;;кв.5 вид 2 Рибальчанського  лісництво ДП «Збур’ївське ЛМГ», 300 м від мисливської бази на схід, Рибальчанське лісництво, Голопристанський район;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
16.;Дуб черешчатий;пам`ятка природи;ботанічна;;кв.5 вид 2 Рибальчанського  лісництво ДП «Збур’ївське ЛМГ»,  з правої сторони шляху Виноградне-Геройське, 250 м на схід від місцевої бази, Голопристанський район;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
17.;Дуб черешчатий;пам`ятка природи;ботанічна;;кв.5 вид 13 Рибальчанського  лісництво ДП «Збур’ївське ЛМГ», з лівої сторони шляху Виноградне-Геройське,             200 м на схід від мисливської бази, Голопристанський район;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
18.;Дуб черешчатий;пам`ятка природи;ботанічна;;кв.5 вид 13 Рибальчанського  лісництво ДП «Збур’ївське ЛМГ», з лівої сторони шляху Виноградне-Геройське,100 м на захід від мисливської бази, Голопристанський район;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
19.;Дуб черешчатий;пам`ятка природи;ботанічна;;кв.5 вид 13 Рибальчанського  лісництво ДП «Збур’ївське ЛМГ», з  правої сторони шляху Виноградне-Геройське,                 350 м на захід від мисливської бази, Голо пристанський район;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
20.;Дуб черешчатий (подвійний);пам`ятка природи;ботанічна;;кв.5 вид 8 Рибальчанського  лісництво ДП «Збур’ївське ЛМГ», з правої сторони шляху Виноградне-Геройське, 450 м на захід від мисливської бази, Голопристанський район;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
21.;Куртина дубів;пам`ятка природи;ботанічна;0,5;кв.5 вид 9 Рибальчанського  лісництво ДП «Збур’ївське ЛМГ», 500 м на захід від мисливської бази, Голопристанський р-н;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
22.;Тополі;пам`ятка природи;ботанічна;;парк с. Стара Збур’ївка ;ДП «Збур’ївське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
;Разом пам`яток природи ботанічних;22;;6,6;;;
23.;Кринківське поселення бобрів;пам`ятка природи;зоологічна;5;кв.12 вид. 24 Кринківського лісництва ДП «Херсонське ЛМГ», Цюрупинський район;ДП «Херсонське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
24.;Микільське поселення змій;пам`ятка природи;зоологічна;4;кв.22 вид. 17Токарівського лісництва ДП «Херсонське ЛМГ»;ДП «Херсонське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
25. ;Понятівське поселення змій;пам`ятка природи;зоологічна;5;кв. 23  вид. 15 (3 га), вид. 13.1 (2 га) Токарівського лісництва ДП «Херсонське ЛМГ»;ДП «Херсонське ЛМГ»;Рішення облвиконкому             від 19.08.83 р. №441/16
;Разом пам`яток природи зоологічних;3;;14;;;
26.;Білозерські джерела;пам`ятка природи;гідрологічна;;на березі оз. Біле по                   вул. Кооперативній смт Білозерка ;Переоформляється охоронне зобов’язання;Рішення облвиконкому             від 19.08.83 р. №441/16
27.;оз. «Гопри» (частина);пам`ятка природи;гідрологічна;5;південно-східний берег озера «Гопри» м. Гола Пристань ;Дочірне піприємство «Санаторій «Гопри»»;Рішення облвиконкому             від 19.08.83 р. №441/16
