№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
Території та об`єкти ПЗФ загальнодержавного значення;;;;;;;
18;Олександрівський парк ;парк-пам’ятка садово-паркового мистецтвва;;11;Томашпільський район, с.Олександрівка;Олександрівська сільська рада;Рішення облвиконкому № 441 від 30.07.69, №335 від 22.06.72р.
19;Рахнянський парк;парк-пам’ятка садово-паркового мистецтвва;;19;Шаргородськицй район, с.Рахни Лісові;Рахнянська сільська рада;Рішення облвиконкому  №371 від 29.08.84р.
20;Деребчинський парк;парк-пам’ятка садово-паркового мистецтвва;;14,7;Шаргородський район,  с.Деребчин;Дебречинська сільська рада;Рішення облвиконкому  №371 від 29.08.84р.
21;Федорівський парк;парк-пам’ятка садово-паркового мистецтвва;;4,3;Шаргородський район, с.Федорівка;Федорівська сільська рада;Рішення облвиконкому  №371 від 29.08.84р.
22;П’ятничанський парк;парк-пам’ятка садово-паркового мистецтвва;;32;м. Вінниця, вул. Мічуріна, 32;Обласний ендокринолгічний диспансер;Рішення облвиконкому № 187 від 13.05.96, №335 від 22.06.72р.
23;Парк ім. О.І.Ющенка;парк-пам’ятка садово-паркового мистецтвва;;15;м. Вінниця, вул. Пирогова, 109;Обласна психоневрологічна лікарня;Рішення облвиконкому № 441 від 30.07.69, №335 від 22.06.72р.
24;Дендрарій лісово-дослідної станції;парк-пам’ятка садово-паркового мистецтвва;;5,8;м. Вінниця, вул.Максимовича, 39;Вінницька лісова дослідна станція;Рішення облвиконкому № 441 від 30.07.69, №335 від 22.06.72 та №371 від 29.08.84р.
25;Музей –садиба М.І.Пирогова;парк-пам’ятка садово-паркового мистецтвва;;18,9;м. Вінниця, вул. Пирогова, 155 ;Музей М.І.Пирогова;Розпорядження Вінницької облдержадміністрації від 22.12.95р. №200 
;Всього парків-пам`яток садово-паркового мистецтва місцевого значення;25;;367,1;;;
1;Жолоби;заповідне урочище;;4,5;Барський район,с.Гайове;Гаївська сільська рада;Рішення  11 сесії 23 скликання облради від 17.12.99р.
2;Лиса гора;заповідне урочище;;3,2;Бершадський район,  сЯланець;ТОВ “Яланецьке”;Рішення  11 сесії 23 скликання облради від 17.12.99р.
3;П’ятничанське;заповідне урочище;;6,2;Вінницький район, Стрижавська сільська рада, Якушинськ елісництво кв.30 діл.1 ;Вінницьке державне лісомисливське господарство;Рішення облдержадміністрації від 18.08.83р. №384
4;Вороновицьке;заповідне урочище;;6,7;Вінницький районКомарівська сільська рада, Вороновицьке лісництво, кв.13 діл.4;Вінницький лісо-виробничий комплекс;Рішення облдержадміністрації від 18.08.83р. №384
5;Басаличівське;заповідне урочище;;31,7;Гайсинський район, Жерденівська сільська рада, Басаличівське лісництво, кв.61 діл. 1,3;Гайсинський держлісгосп;Рішення облвиконкому №371 від 29.08.84р.
6;Жмеринська діброва;заповідне урочище;;45,3;Жмериський район, Людавська сільська рада, Жмеринське лісництво, кв.73 діл.3;Жмеринське ДЛГ;Рішення облвиконкому №371 від 29.08.84р.
7;Вільхове;заповідне урочище;;6,7;Козятинський район, Козятинське лісництво, кв.32. діл 13;Хмільницький ДЛГ;Рішення облвиконкому №371 від 29.08.84р.
8;Соколівська дача;заповідне урочище;;80;Крижопільський  районСоколівська сільська рада, Заболотнянське лісництво, кв.42 діл.43;Крижопільський ДЛГ;Розпорядження від 29.12.79р. № 80
9;Літинське;заповідне урочище;;7,1;Літинський район Соснівська сільська рада, Літинське лісництво, кв.28 діл. 1;Хмільницьке ДЛГ;Рішення облвиконкому № 384  від 29.08.84 та  №371 від 29.08.84р.
10;Літинська дача;заповідне урочище;;40,7;Літинський  район, Соснівська сільська рада, Літинське лісництво, кв.50 діл. 7;Хмільницьке ДЛГ;Рішення облвиконкому № 384  від 29.08.84 та  №371 від 29.08.84р.
