№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;
46;Тернівці;заповідне урочище;;122;Сколівський р-н,  Головецьке л-во,  кв. 22;ДП «Славський лісгосп»;1984*;;
47;Явірник;заповідне урочище;;142;Сколівський р-н,  Верхнячківське л-во,  кв. 21;ДП «Славський лісгосп»;1984*;;
48;Магура;заповідне урочище;;267;Сколівський р-н,  Тухлянське л-во,  кв. 23,24;ДП «Славський лісгосп»;1984*;;
;Всього заповідних урочищ;48;;6502,4;;;;;
1;Ботанічний сад Львівського медичного університету;ботанічний сад;;1,5;м. Львів, вул. Пекарська,71;Львівський державний медичний університет;Рішення сесії Львівської обласної ради № 180 від 17.06.97;;
;Всього ботанічних садів місцевого значення;1;;1,5;;;;;
;Зоопарк;зоопарк;;5,9;Пустомитівський р-н, с. Оброшино;“Falco-ЛТД” еколого-розплідний методичний центр;Рішення сесії Львівської обласної ради народних депутатів від 01.10.98 р. №71;;
;Всього зоопарків місцевого значення;1;;5,9;;;;;
1;Парк 17 ст.;парк-пам`ятка садово-паркового мистецтва;;10;Городоцький район, м. Комарно;Городоцький комбінат  комунальних підприємств;1984*;;
2;Парк ХVІІІ ст.;парк-пам`ятка садово-паркового мистецтва;;12;Городоцький р-н, с. Вишня;Вишнянський радгосп-технікум;1984*;;
3;Парк ХVІІІ ст.;парк-пам`ятка садово-паркового мистецтва;;3,5;Городоцький р-н, с. Суховоля;Восьмирічна школа;1984*;;
4;Парк ХVІІІ ст.;парк-пам`ятка садово-паркового мистецтва;;12;м. Городок;Городоцький комбінат комунальних підприємств;1984*;;
5;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;5;Городоцький р-н, с.м.т. Великий Любінь;В. Любінська допоміжна школа;1984*;;
6;Парк курорту “Великий Любінь”;парк-пам`ятка садово-паркового мистецтва;;12;Городоцький р-н, с.м.т. Великий Любінь;адміністрація курорту;1984*;;
7;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;2;Жидачівський р-н, с. Піддністряни;Піддністрянська школа-інтернат;1984*;;
8;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;2;Жидачівський р-н, с. Лівчиці;Лівчицька школа-інтернат;1984*;;
9;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;2;Жидачівський р-н, м. Ходорів;Ходорівська міська рада;1984*;;
10;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;6;Золочівський р-н, с.м.т. Глиняни;Адміністрація птахофабрики Львівптахопрому;1984*;;
11;Парк ХІХ ст.;парк-пам`ятка садово-паркового мистецтва;;7;Золочівський р-н, с.м.т. Поморяни;Поморянське СПТУ-35;1984*;;
