№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
2.;Урочище “В’язове”;заказник;орнітологічний;336;Процівська сільська рада, Бориспільський район;ДП „Бориспільське лісове господарство”;Рішення Київського облвиконкому №215 від 17.10.1988р.
3.;„Стадницький став”;заказник;орнітологічний;71,6;Стадницька сільська рада, Тетіївський район;Стадницька сільська рада;Рішення 16 сесії 21 скликання від 10.03.94р.
4.;„Саварка”;заказник;орнітологічний;89;Ольшеницька сільська рада, Богуславський район;ДП „Богуславське лісове господарство”;Рішення Київського облвиконкому №5 від 12.01.1987р.
5.;„Чапля”;заказник;орнітологічний;1,3;Шпилівська сільська рада, Іванківський район;ДП „Іванківське лісове господарство”;Рішення Київського облвиконкому №5 від 12.01.1987р.
6.;„Чорний лелека”;заказник;орнітологічний;3,2;Макарівська сільська рада, Іванківський район;ДП „Іванківське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
;Разом заказників орнітологічних;6;;506,1;;;
1.;„Стугна”;заказник;лісовий;58,5;Українська міська рада, Обухівський район;ДП „Київське лісове господарство”;Рішення Київської облради від 20.11.2003р. №133-10-ХХІУ
2.;„Ворзельський”;заказник;лісовий;84,0918;Ворзельська селищна рада, Києво-Святошинський район;Бучанська лісогосподарська установа;Рішення Київської облради від 20.11.2003р. №133-10-ХХІУ
3.;„Борові ділянки”;заказник;лісовий;56;Комарівська сільська рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
4.;„Борщівський”;заказник;лісовий;35,8;Коржівська сільська рада, Баришівський район;ДП „Переяслав-Хмельницьке лісове господарство”;Рішення обласної ради від 01.04.03р. №89-07-XXIV
5.;„Бушівський”;заказник;лісовий;148;Бушівська сільська рада, Рокитнянський район;ДП „Богуславське лісове господарство”;Рішення Київського облвиконкому від 12.01.987р. №5
6.;„Володарська дача”;заказник;лісовий;213;Володарська селищна рада, Володарський район;ДП „Білоцерківське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
7.;„Михайлівська дача”;заказник;лісовий;209;Логвинська сільська рада, Володарський район;ДП „Білоцерківське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
8.;„Улашівська дача”;заказник;лісовий;133;Чернинська і Улашівська  сільські ради, Таращанський район;ДП „Богуславське лісове господарство”;Рішення  Київської обласної ради  від 05.03.02р. №327-20-ХХІІІ 
9.;„Пухівський”;заказник;лісовий;13,9;Адміністрація зони відчуження  та безумовного (обов’язкового) відселення;Державне спеціалізоване виробниче комплексне підприємство “Чорнобильська Пуща”;Рішення Київського облвиконкому від 28.02.1972р. №118
10.;„Пустоварівка”;заказник;лісовий;198;Ленінська і Пустоварівська сільські ради, Сквирський район;ДП „Білоцерківське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
11.;„Уютне”;заказник;лісовий;59;Шаліївська сільська рада, Сквирський район;ДП „Білоцерківське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
12.;„Гореницький”;заказник;лісовий;221;В адміністративних межах Дмитрівської та Гореницької  селищних рад Київської області;ДП „Київське лісове господарство”;Рішення  Київської обласної ради  від 21.06.2012р. №365-19-VІ
;Разом;12;;1429,2918;;;
1.;„Димерський”;заказник;гідрологічний;850;Ясногородська сільська рада, Вишгородський район;ДП „Димерське лісове господарство”;Рішення Київського облвиконкому №441 від 18.12.1984р.
2.;„Катюжанський”;заказник;гідрологічний;291;Катюжанська сільська рада, Вишгородський район;ДП „Димерське лісове господарство”;Рішення Київського облвиконкому №441 від 18.12.1984р.
3.;„Велеківське болото”;заказник;гідрологічний;773;Семиполківська, Богданівська сільські ради та Броварська міська рада, Броварський район;Державна резиденція “Залісся”;Рішення 16 сесії 21 скликання від 10.03.94р.
4.;Урочище “Гощів”;заказник;гідрологічний;215;Нещерівська та Старобезрадичівська сільські ради, Обухівський район;ДП „Київське лісове господарство”;Рішення Київського облвиконкому №215 від 17.10.1988р.
5.;„Копачівський”;заказник;гідрологічний;227,7;Копачівська сільська рада, Обухівський район;Копачівська сільська рада;Рішення 16 сесії 21 скликання від 10.03.94р.
6.;„Болото Біле”;заказник;гідрологічний;392,6;Сошняківська сільська рада, Бориспільський район;ДП „Ржищівський військовий лісгосп”;Рішення обласної ради 6 сесії 23 скликання від 02.02.99р. 
7.;Урочище “Кончаки”;заказник;гідрологічний;72;Дідівщанська сільська рада, Фастівський район;ДП „Фастівське лісове господарство”;Рішення 16 сесії 21 скликання від 10.03.94р.
8.;„Бабині лози”;заказник;гідрологічний;20;Стадницька сільська рада, Тетіївський район;Стадницька сільська рада;Рішення 16 сесії 21 скликання від 10.03.94р.
9.;„Подільський”;заказник;гідрологічний;280;Подільська і Масківецька сільські ради, Баришівський район;Подільська і Масківецька сільські ради;Рішення Київського облвиконкому №191 від 26.11.1991р.
10;«Криничка»;заказник;гідрологічний;2;м. Ірпінь, вул. Новооскольська;Ірпінська міська рада;Рішення Київської обласної ради від 21.10.10р.     №866-35-V
11;«Дулицьке»;заказник;гідрологічний;71,6;В адміністративних межах Шамраївської та Дулицької сільської рад Сквирського району;ДП „Білоцерківське лісове господарство” Сквирське лісництво;Рішення  Київської обласної ради  від 21.06.2012р. №365-19-VІ
;Разом заказників гідрологічних;11;;3194,9;;;
1.;„Процівський”;заказник;іхтіологічний;563;Процівська сільська рада, Бориспільський район;Процівська сільська рада;Рішення обласної ради 6 сесії 23 скликання від 02.02.99р. 
;Разом заказників іхтіологічних;1;;563;;;
1.;«Стайківські обрії»;заказник;загальнозоологічний;212;Стайківська сільська радаКагарлицький район;Стайківська сільська рада;Рішення Київської обласної ради від 21.10.10р.     №866-35-V
;Разом заказників загальнозоологічних;1;;212;;;
;Всього заказників місцевого значення;82;;24245,035;;;
1.;„Хвощ великий”;пам`ятка природи;ботанічна;2;Вишгородська міська рада, Вишгородський район;Вишгородська міська рада;Рішення обласної ради 6 сесії 23 скликання від 02.02.99р. 
2.;„Омелькова гора”;пам`ятка природи;ботанічна;3;Великосалтанівська сільська рада, Васильківський район;Великосалтанівська сільська рада;Рішення четвертої сесії Київської обласної ради ХХІV від 24.10.02р.     №045-04-ХХІV
3.;„Тюльпанове дерево”;пам`ятка природи;ботанічна;0,2;Ворзельська селищна рада, Києво-Святошинський район;КП „Обласний лісгосп”  ;Рішення Київського облвиконкому №5 від 12.01.87р.
4.;“Ясен звичайний”;пам`ятка природи;ботанічна;0,01;Лісниківська сільська рада, Києво-Святошинський район;Лісниківська сільська рада;Рішення Київської облради від 27.10.2005р. №310-26-ІУ
5.;“Ходосівський дуб”;пам`ятка природи;ботанічна;0,04;Ходосівська сільрада, Києво-Святошинський район;ВП НАУ “Боярська лісова дослідна станція”;Рішення Київської облради від12.12.2008 № 391-21-V
6.;“Витоки струмка Дніприк”;пам`ятка природи;ботанічна;1,5;Чабанівська селищна рада, Києво-Святошинський район;ДП Дослідне господарство “Чабани” Інституту землеробства УААН;Рішення Київської облради від12.12.2008 № 391-21-V
7.;„Вікова сосна”;пам`ятка природи;ботанічна;0,02;Дорогинська сільська рада, Фастівський район;ДП „Фастівське лісове господарство”;Рішення Київського облвиконкому №118 від 28.02.72р.
8.;„Дуб черешчатий”;пам`ятка природи;ботанічна;0,02;Волицька сільська рада, Фастівський район;ДП „Фастівське лісове господарство”;Рішення Київського облвиконкому №524, 1968р.
9.;„Дуби”;пам`ятка природи;ботанічна;0,8;Пісківська селищна рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення Київського облвиконкому №524, 1968р.
10.;„Дубові насадження”;пам`ятка природи;ботанічна;2,3;Пісківська селищна рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення Київського облвиконкому №524, 1968р.
11.;„Смерека”;пам`ятка природи;ботанічна;0,02;Загальцівська сільська рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення Київського облвиконкому №118 від 28.02.72р.
12.;„Сосново-дубові насадження”;пам`ятка природи;ботанічна;7,1;Пісківська селищна рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення Київського облвиконкому №524, 1968р.
13.;„Сосново-дубові насадження”;пам`ятка природи;ботанічна;1;Пісківська селищна рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення Київського облвиконкому №524, 1968р.
14.;„Соснові насадження”;пам`ятка природи;ботанічна;0,5;Пісківська селищна рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення Київського облвиконкому №118 від 28.02.72р.
15.;„Соснові насадження”;пам`ятка природи;ботанічна;5,5;Пісківська селищна рада, Бородянський район;ДП „Тетерівське лісове господарство”;Рішення Київського облвиконкому №118 від 28.02.72р.
16.;„Акація біла”;пам`ятка природи;ботанічна;0,02;Переяслав-Хмельницька  міська рада, Переяслав-Хмельницький район;Переяслав-Хмельницький краєзнавчий музей;Рішення Київського облвиконкому №118 від 28.02.72р.
17.;„Віковий дуб черешчатий”;пам`ятка природи;ботанічна;0,02;Борізська сільська рада, Макарівський район;ДП„Макарівське  лісове господарство”;Рішення Київського облвиконкому №118 від 28.02.72р.
18.;„Три брати”;пам`ятка природи;ботанічна;0,5;Стовп’язька сільська рада, Переяслав-Хмельницький район;Стовп’язька сільська рада;Рішення облради від 20.11.2003р. №133-10-ХХІУ
19.;„Роблена могила”;пам`ятка природи;ботанічна;0,3;Козлівська сільська рада, Переяслав-Хмельницький район;Козлівська сільська рада;Рішення облради від 20.11.2003р. №133-10-ХХІУ
20.;“Соболева могила”;пам`ятка природи;ботанічна;0,3;Виповзьська сільська рада, Переяслав-Хмельницький район;Виповзьська сільська рада;Рішення Київської облради від 27.10.2005р. №310-26-ІУ
21.;“Два товариша”;пам`ятка природи;ботанічна;0,2;Малокаратульська сільська рада, Переяслав-Хмельницький район;Малокаратульська сільська рада;Рішення Київської облради від 27.10.2005р. №310-26-ІУ
22.;“Урочище Гірка”;пам`ятка природи;ботанічна;1,1;Денисівська сільська рада, Переяслав-Хмельницький район;Денисівська сільська рада;Рішення Київської облради від 27.10.2005р. №310-26-ІУ
23.;„Високопродуктивні соснові насадження”;пам`ятка природи;ботанічна;7,3;Логвинська селищна рада, Володарський район;ДП „Білоцерківське лісове господарство”;Рішення Київського облвиконкому №118 від 28.02.72р.
