№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
;Разом заказників лісових;13;;6483,7;;;
;«Щавнянська Магура»;заказник;ботанічний;253,6;"Болехівська міська рада, Козаківське лісництво, кв. 30, вид. 1-6, 8-12, 14-16; кв. 31, вид. 1-3, 5-10, 14-18, 20-25, 31-34; кв. 32, вид. 6-10, 14-16";Болехівська сільська рада;Рішення обласної ради від 12.03.04 р.   № 350-10/2004
;«Магура»;заказник;ботанічний;130,3;Болехівська міська рада, Козаківське лісництво,  кв.31, вид.4, 11-13, 19, 26-30, 35-42 ,  кв. 32, вид.1-5, 11-13, 17;ДП «Болехівський держлісгосп»;Рішення обласної ради від 28.12.99 р.№ 237-11/99
;«Федів»;заказник;ботанічний;121;Болехівська міська рада, Козаківське л-во кв.18;ДП «Болехівський держлісгосп»;Рішення обласної ради від 28.12.99 р.№ 237-11/99
;«Жидовець»;заказник;ботанічний;41,4;Долинський район, Витвицьке лісництво, кв. 2, вид.1-7, 9, 13;ДП «Болехівський держлісгосп»;Рішення обласної ради від 12.03.04 р.   № 350-10/2004
;«Могила»;заказник;ботанічний;1,88;Городенківський район, село Ясенів-Пільний;Ясенів-Пільнянська сільська рада;Рішення облвиконкому від 19.07.88 р. № 218
;«Підбавки»;заказник;ботанічний;0,12;Городенківський район, село Ясенів-Пільний;Ясенів-Пільнянська сільська рада;Рішення облвиконкому від 19.07.88 р. № 218
;«Обертинська долина»;заказник;ботанічний;29;Городенківський район, село Чортовець;Чортовецька сільська рада;Рішення обласної ради від 15.07.93 р.
;«Вістова»;заказник;ботанічний;27,5;Калуський район,  Калуське лісництво,  кв. 31,   вид. 1, 1.1, 2, 2.1, 3, 5;ДП «Калуський держлісгосп»;Рішення обласної ради від 15.07.93 р. із змінами у площі відповідно до рішення обласної ради від 17.01.08 № 490-18/2008
;«Ліскувата»;заказник;ботанічний;23;Яремчанська міська рада,  Дорівське лісництво, кв.10,  вид. 3, 4, 6-8, 10;Яремчанська міська рада, ДП «Делятинський держлісгосп»;Рішення облвиконкому від 17.05.83 р. № 166
;«Діл»;заказник;ботанічний;3,4;Надвірнянський район, Зарічанське лісництво, кв.18, вид. 20;ДП «Делятинський держлісгосп»;Рішення облвиконкому від 17.05.83 р. № 166
;«Поляниця»;заказник;ботанічний;2;Яремчанська міська рада, Поляницьке лісництво, кв. 8, вид. 8;ДП «Делятинський держлісгосп»;Рішення облвиконкому від 17.05.83 р. № 166
;«Санковичі»;заказник;ботанічний;41,7;Яремчанська міська рада;Яремчанська міська рада;Рішення облвиконкому від 17.05.83 р. № 166
;«Річанський»;заказник;ботанічний;48;Надвінянський район, Річанське лісництво, кв. 20, вид. 18,  20;ДП «Надвірнянський держлісгосп»;Рішення облвиконкому від 17.05.83 р. № 166
;«Голубічка»;заказник;ботанічний;11;Надвірнянський район, Річанське лісництво,  кв. 4, вид. 16;ДП «Делятинський держлісгосп;Рішення облвиконкому від 19.07.88 р. № 128
;«Копчин»;заказник;ботанічний;422;Яремчанська міська рада, Поляницьке лісництво,  кв. 21-24;ДП «Делятинський держлісгосп»;Рішення облвиконкому від 19.07.88 р. № 128
;«Білославсь-кий»;заказник;ботанічний;8;Надвірнянський район, с. Чорні Ослави;Чорноославська сільська рада;Рішення облвиконкому від 17.05.83 р. № 166
;«Бубонець»;заказник;ботанічний;25;Рогатинський район, с. Загір’я;Княгиницька сільська рада;Рішення обласної ради від 28.12.99 р.№ 237-11/99
;«Конвалія»;заказник;ботанічний;63,3;Рожнятівський район, Рожнятівське лісництво,  кв. 2, вид.1, 2 , кв. 3, вид. 3, 7;Брошнівський держлісгосп;Рішення облвиконкому від 19.07.88 р. № 128
;«Іванків»;заказник;ботанічний;15;Снятинський район, с. Трійця;Трійцівська сільська рада;Рішення облвиконкому від 19.07.88 р. № 128
;«Хомів»;заказник;ботанічний;35;Снятинський район, с. Іллінці;Іллінцівська сільська рада;Рішення облвиконкому від 19.07.88 р. № 128
