№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
12.                ;Григорівські горби;заповідне урочище;;5;Канівський район, кв. 22 Григорівського л-ва. Ділянка між Пн околицею с.Григорівки і Чернечим Яром. Ур. “Чернече”, гори “Лисуха”,  “Свізір”;"АТЗТ "" АЕО"" Трахтемирів """;Ріш. ОВК від 28.11.79 р. № 597
13.                ;Канівські гори;заповідне урочище;;42;Канівський район, кв. 41 пл. 24 га, садиба музею Т.Г.Шевченка (18 га). Ділянка правобережжя Дніпра між Тарасовою горою і Холодним яром;Канівський музей Т.Г.Шевченко;Ріш. ОВК від 28.11.79 р. № 597
14.                ;Карапиші;заповідне урочище;;2;Канівський район, Сх околиця с.Кононча зліва від шляху на с.Хмільна, проти мосту;Хмільнянська сільська рада;Ріш. ОВК від 28.11.79 р. № 597
15.                ;"""Козацьке""";заповідне урочище;;7;Канівський район, с. Таганча;Таганчанська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
16.                ;“Кратове”;заповідне урочище;;4;Канівський район, с. Поташня  ;Таганчанська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
17.                ;Лупинин яр;заповідне урочище;;3;Канівський район, Сх околиця с.Кононча між Лупининим і Сидоровим ярами;Хмільнянська сільська рада;Ріш. ОВК від 28.11.79 р. № 597
18.                ;Майчина гора;заповідне урочище;;5;Канівський район, схил Пд експозиції до глибокої балки між селами Лука і Горобіївка;Горобіївська сільська рада;Ріш. ОВК від 28.11.79 р. № 597
19.                ;Малий курган;заповідне урочище;;1,5;Канівський район, Пд-Зх схил пагорба на захід від с.Пекарі;Пекарівська сільська рада;Ріш. ОВК від 28.11.79 р. № 597
20.                ;"""Монахове провалля""";заповідне урочище;;1,8;Канівський район, с. Мельники ;Мельниківська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
21.                ;Мушина гора;заповідне урочище;;5;Канівський район, кв. 5 Григорівського л-ва. Пд схил пагорба справа від шляху при в’їзді в с.Трахтемирів;Григорівська сільська рада;Ріш. ОВК від 28.11.79 р. № 597
22.                ;Південно-східне Таганчанське;заповідне урочище;;253;Канівський район, кв. 37, 38, 39, 42 Таганчанського л-ва, 5-й км на південний схід с.Таганча;"ДП ""К-Шевченківське ЛГ""";Ріш.ОВК від 19.03.76 р.№ 177
23.                ;Південне Таганчанське;заповідне урочище;;1173;Канівський район, кв. 11-16, 18-20, 22, 28-32 Таганчанського л-ва. Південна околиця с.Таганча;"ДП ""К-Шевченківське ЛГ""";Ріш.ОВК від 19.03.76 р.№ 177
24.                ;“Перегонівка”;заповідне урочище;;6,4;Канівський район, с. Поташня ;Таганчанська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
25.                ;"""Перуни""";заповідне урочище;;2;Канівський район, кв. 82 вид. 3 Михайлівсько-го лісництва ;"ДП ""Канівське ЛГ""";ріш. обл. ради від 03.07.02 № 2-8
26.                ;"""Старий цвинтар""";заповідне урочище;;1,19;Канівський район, с. Степанці ;Степанецька сільська рада;ріш. обл. ради від 03.07.02 № 2-8
27.                ;"""Старослов’янське городище""";заповідне урочище;;5,5;Канівський район, с.Пекарі ;Пекарівська сільська рада;ріш. обл. ради від 03.07.02 № 2-8
28.                ;Яремина гора;заповідне урочище;;2;Канівський район, с. Кононча. Зліва від шляху на с.Хмільна, зліва від електролінії ;Хмільнянська сільська рада;Ріш. ОВК від 28.11.79 р. № 597
