№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
2;Дністровський;заказник;орнітологічний;13,5;Заставнівський район  с.Бабин;Бабинська сільська рада;Рішення облвиконкому від 17.10.84 № 216
3;Кліводинський;заказник;орнітологічний;1,1;Кіцманський район:залізничний перегінКіцмань-Кліводинкм.81, ПК 7-км.82, ПК 5;Чернівецька дистанція захисних лісонасаджень Львівської залізниці;Рішення облвиконкому від 19.01.83№ 15,від 17.10.84 № 216 
4;Чорний лелека;заказник;орнітологічний;17,1;Сторожинецькийрайон: Чернівецький військовий лісгоспкв.12 вид.5, кв.23 вид.1;Чернівецький військовий лісгосп;Розпоряд-ження облдержад-міністраціївід 08.02.96№ 87-р 
5;Чорторийський;заказник;орнітологічний;57,9;"Кіцманський район:с.ЧорторияТзОВ «Либідь»-пл.50,28 га;Брусницька сільська рада-пл.7,62 га..";ТзОВ «Либідь»,Брусницька сільська рада;Рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03. 99№ 14-6/99 
6;Василишине;заказник;орнітологічний;22;Новоселицький район  с.Рідківці;Рідківецька сільська рада;Рішення 6-ї сесії обласної ради ХХІІІ скликання від 10.03. 99 № 14-6/99
;Разом заказників орнітологічних;6;;119,9;;;
1;Юрківський карст;заказник;карстово-спелеологічний;12,1;Заставнівський район, с.Юрківці;Юрківецька сільська рада;Рішення облвиконкому від 16.01.91 № 22
;Разом заказників карстово-спелелогічних;1;;12,1;;;
1;Джерело;заказник;лісовий;149;Глибоцький район: ДП «Чернівецький лісгосп», Кузьмінське л-вокв.9 вид.1, 3, 7, 8,  кв.10 , 15, 18;ДП «Чернівецький лісгосп»;Рішення облвикон-комувід 17.10.84 № 216
2;Еталонне насадження бука;заказник;лісовий;69;Сторожинецький район: Чернівецький військовий лісгоспкв.20, вид.3,кв.22, вид 1,2,3,4,5,кв.23, вид 3;Чернівецький військовий лісгосп;Розпорядження облдержадміністрації від 08.02.96 № 87-р, рішення 17-ї сесії обласної ради ХХІІІ скликання від 20.12.01  № 171-17/01
