№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
96.;Туя західна;пам`ятка природи;ботанічна;0,4;Зростає в м. Кам’янець-Подільському по вул. Червоноармійській.;КП „Кам’янецький парк”;Рішенням облвиконкому від 16.10.1991 р. № 171
97.;"Урочище “Липник І""";пам`ятка природи;ботанічна;0,6;Кв. 78 вид. 6 Красилівського л-ва ;ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому від 4.09.1982 року       № 278
98.;Урочище “Липник ІІ”;пам`ятка природи;ботанічна;0,3;Розташована в кв. 78 вид. 4 Красилівського л-ва Старокостянтинівського ДЛГ.;ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому від 4.09.1982 року      № 278
99.;Урочище “Липник”;пам`ятка природи;ботанічна;0,6;"Розташована в урочищі ""Липник"" Красилівського лісництва в кв. 74";ДП «Старокостянтинівський лісгосп»;Розпорядженням виконкому обласної ради депутатів трудящих від 30.01.1969 року №72-р
100.;Урочище “Гайдучино ІІ”;пам`ятка природи;ботанічна;2,5;"Розташована в кв. 45 урочища ""Баймаки"" та кв. 80 урочища  ""Гайдучино"" Красилівського л-ва ДП “Старокостянтинівський лісгосп”";ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому від 30.01.1969 року №72-р
101.;Урочище “Баймаки І”;пам`ятка природи;ботанічна;1,3;"Розташована в кв. 50 діл. 17 урочища ""Баймаки"" та кв. 81 діл. 1 урочища ""Гайдучино"" Красилівського л-ва ДП “Старокостянтинівський лісгосп”";ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому від 30.01.1969 року №72-р
102.;Урочище “Баймаки ІІ”;пам`ятка природи;ботанічна;0,4;"Розташована в кв. 84 урочища ""Гайдучино"",  кв. 45 урочища ""Баймаки"", кв. 66 урочища ""Запуст"" Красилівському л-ві ДП “Старокостянтинівський лісгосп”";ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому від 30.01.1969 року №72-р
103.;Урочище Шмирки;пам`ятка природи;ботанічна;1,6;Розташована в урочищі Шмирки кв. 4 діл. 23 Красилівського л-ва ДП “Старокостянтинівський лісгосп”.;ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому від 11.06.1970 року № 156-р «б»
104.;Урочище “Волиця”;пам`ятка природи;ботанічна;0,3;Розташована в Красилівському л-ві в кв. 15.діл. 7 ДП “Старокостянтинівський лісгосп”;ДП «Старокостянтинівський лісгосп»;Рішенням облвиконкому від 4.09.1982 року № 278          
105.;Урочище “Кучманівка”;пам`ятка природи;ботанічна;2;Антонінське л-во кв. 5 діл. 9 ДП “Старокостянтинівський лісгосп”ДП “Старокостянтинівський лісгосп”;ДП «Старокостянтинівський лісгосп»;Рішенням облвиконкому від 4.09.1982 року № 272
106.;Алея бука європейського;пам`ятка природи;ботанічна;0,8;Антонінське л-во кв. 58 ДП “Старокостянтинівський лісгосп”ДП ;ДП «Старокостянтинівський лісгосп»;Рішенням облвиконкому від 4.09.1982 року № 278          
107.;Бук європейський;пам`ятка природи;ботанічна;3,3;Лісовий масив біля с. В. Салиха кв. 1 діл. 16 ;ЛСП “Красилівліс” Красилівського р-ну;Рішенням облради від 16.10.1991 року  № 171
108.;Летичівська;пам`ятка природи;ботанічна;1,3;Смт. Летичів, міський парк відпочинку. На території зростають типові для Поділля породи дерев;Летичівська селищна рада;Рішенням 4 сесії обласної ради від 16 грудня 1998 року № 13, змінено категорію на ботанічну пам’ятку природи рішенням 11 сесії обласної ради від 30.03.2003 р. № 22-11/2004
109.;Липова алея;пам`ятка природи;ботанічна;10;Липова алея 300-річного віку, вздовж  шляху 72+76+750 Вінниця-Львів-Краковець. ;Служба автомобільних доріг Хмельницької області (Летичівський район);Рішенням облвиконкому від 4.09.1982 року № 278          
110.;Липова алея;пам`ятка природи;ботанічна;5;Чотирьохрядна липова алея 300-річного віку, ;Служба автомобільних доріг Хмельницької області;Рішенням облвиконкому від 4.09.1982 року № 278  
111.;Липова алея;пам`ятка природи;ботанічна;0,5;Липова алея віком 300 років, вздовж шляху 82+82+150. ;Служба автомобільних доріг Хмельницької області;Рішенням облвиконкому від 4.09.1982 року № 278          
112.;Волосовецька дача;пам`ятка природи;ботанічна;23;  Пархомівське л-во кв. 5 діл. 9.;ДП «Летичівський лісгосп»;Розпорядженням облвиконкому від 11.06.1970 року № 156-р «б»
113.;Модрина європейська;пам`ятка природи;ботанічна;0,01;Смт. Летичів вул. Панасюка біля приміщення музичної школи ;Летичівська селищна рада;Рішенням 4 сесії обласної ради від 16 грудня 1998 року № 13
114.;Дуб звичайний;пам`ятка природи;ботанічна;0,1;Козачинське л-во кв. 3, діл. 8 Летичівського ДЛГ;ДП «Летичівський лісгосп»;Рішенням облвиконкому від 4.09.1982 року № 278          
115.;Старий ясен;пам`ятка природи;ботанічна;0,01;Смт. Летичів вул. Леніна;Летичівська селищна рада;Рішенням сесії обласної ради народних депутатів від 28.10.1994 року № 7
116.;Підсніжник звичайний;пам`ятка природи;ботанічна;0,7;Хутірське л-во кв. 35 вид.13, 14;ДП «Славутський лісгосп»;Рішенням 2 сесії облради від 28.10.1994 року № 7
117.;Голицька дача;пам`ятка природи;ботанічна;2,7;Голицьке л-во кв. 34 діл. 7;ДП «Славутський лісгосп»;Розпорядженням облвиконкому від 07.12.1972 року  № 462-р
118.;Дуб звичайний;пам`ятка природи;ботанічна;0,1;Хутірське л-во кв. 43Вид. 22;ДП «Славутський лісгосп»;"Розпорядженням облвиконкому від 11.06.1970 року № 156-р ""в"""
119.;Дубове насадження;пам`ятка природи;ботанічна;4,7;Хутірське л-во кв. 6 вид.7;ДП «Славутський лісгосп»;Рішенням облвиконкому  від 16.10.91р. №171
120.;Дуби велетні;пам`ятка природи;ботанічна;0,8;Хутірське л-во кв. 23Вид. 39;ДП «Славутський лісгосп»;Рішенням 8 сесії  облради  від 1.11.96р. №2
121.;Курган;пам`ятка природи;ботанічна;2;Поблизу с. Печи води Славутського р-ну;Печиводська сільська рада;Розпорядженням ОДА від 28.09.95р. №67-9 (р)
122.;Славутська діброва;пам`ятка природи;ботанічна;2,89;Голицьке л-во кв. 34 вид. 6;ДП «Славутський лісгосп»;Рішенням 11 сесії облради від 30.03.2004 р. № 22-11/2004
123.;Алея старих лип;пам`ятка природи;ботанічна;0,7;С. СамчинціСтарокостянтинівського р-ну;Самчинецька сільська рада;Розпорядженням облвиконкому від 11.06.1970 року № 156 –р”б”
124.;Урочище „Руда”;пам`ятка природи;ботанічна;1,2;кв. 30 діл. 7 Самчиківського лісництва  ;ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому від 11.06.1970 року № 156-р”б”
125.;Урочище „Кучманівка”;пам`ятка природи;ботанічна;2;Антонінське лісництві кв. 5 діл. 9;ДП «Старокостянтинівський лісгосп»;Рішенням облвиконкому від 4.09.1982 р № 278
126.;Урочище „Баглаї”;пам`ятка природи;ботанічна;0,9; кв. 37 діл. 8 Самчиківське лісництва  ;ДП «Старокостянтинівський лісгосп»;Рішенням облвиконкому від 4.09.1982 року № 278
127.;Бук європейський;пам`ятка природи;ботанічна;0,5; Сковородецьке лісництві кв. 14 вид. 17;ДП «Старокостянтинівський лісгосп»;Рішенням облради від 25.12.1992 року № 7
128.;Дуб черешчатий;пам`ятка природи;ботанічна;13;Урочище Чернятин Антонінського лісництва кв. 47 вид. 10;ДП «Старокостянтинівський лісгосп»;Рішенням облвиконкому від 15.10.1986 року № 225
129.;Дуб черешчатий;пам`ятка природи;ботанічна;12;Урочище Чернятин Антонінського лісництва кв. 46 вид. 22;ДП «Старокостянтинівський лісгосп»;Рішенням облвиконкому від 15.10.1986 р. № 225
130.;Біогрупа дерев;пам`ятка природи;ботанічна;0,9;В урочищі “Новоселиця” Старокостянтинівського району;СПТУ № 41;Рішенням 17 сесії облради від 17.12.1993 р. № 3
131.;Екзотичні дерева;пам`ятка природи;ботанічна;0,2;В лісовому масиві поблизу с. М. Жеребки.Теофіпольського району;Маложеребків-ська сільська рада;Рішенням облвиконкому від 20.12.1989 року № 203
132.;Алея каштана кінського;пам`ятка природи;ботанічна;0,5;смт. Теофіполь на території районної ради фізкультурного товариства.;Теофіпольська селищна рада;Рішенням облвиконкому від 20.12.1989 року № 203
133.;Група вікових дерев;пам`ятка природи;ботанічна;3,1;В південній частині с. Ільківці Теофіпольського р-ну;Ільківецька сільська рада;Рішенням сесії облради від 17.12.1993 року №3
134.;Вікові дерева;пам`ятка природи;ботанічна;4,6;С. Волиця-Польова Теофіпольського району ;Волице-Польова сільська рада;Рішенням сесії облради від 25.12.1992 року №7
135.;Віковічні дерева;пам`ятка природи;ботанічна;4,3;Смт. Базалія Теофіпольського р-ну;Базалійська селищна рада;Рішенням сесії облради від 28.10.1994 року № 7
136.;Група віковічних дерев;пам`ятка природи;ботанічна;3,5;Смт. Базалія Теофіпольського р-ну(сквер в центрі села);Базалійська селищна рада;Рішенням сесії облради від 28.10.1994 року № 7
137.;Група віковічних дерев;пам`ятка природи;ботанічна;6,1;С. Волиця Теофіпольського р-ну;Волице-Польова сільська рада;Розпорядженням голови ОДА від 28.09.1995 р. № 67-р
138.;Віковічні дерева;пам`ятка природи;ботанічна;8;Околиця с. Рідка Теофіпольського р-ну;Поляхівська сільська рада;Розпорядженням голови ОДА від 28.09.1995 р. № 67-р.
139.;Лютарівська;пам`ятка природи;ботанічна;1;В центрі с. Лютарівка Теофіпольського р-ну;Ординецька сільська рада;Рішенням 8 сесії облради від 01.11.1996 р. № 2
140.;Липа звичайна;пам`ятка природи;ботанічна;0,02;Зростає в м. Хмельницькому по вулиці Грушевського, 64 ;УЖКГ Хмельницького місквиконкому;Рішенням обласного виконавчого комітету (далі ОВК) № 213 від 14.07.1977 року.
141.;Алея каштана кінського;пам`ятка природи;ботанічна;0,5;Розташований на території відкритого акціонерного товариства “Хмельницький обласний пивзавод” м. Хмельницького. ;ВАТ “Хмельницький обласний пивзавод”;Рішенням ОВК № 213 від 14.07.1977 року.
142.;Бук червоний;пам`ятка природи;ботанічна;0,01;Зростає в м. Хмельницькому на вулицях Гагаріна, 5 та Театральній, 24 ;УЖКГ Хмельницького місквиконкому;Рішенням ОВК № 358-р від 22.10.1969 року.
143.;Бук червоний;пам`ятка природи;ботанічна;0,01;Зростає в м. Хмельницькому на вулицях Гагаріна, 5 ;УЖКГ Хмельницького місквиконкому;Рішенням ОВК № 358-р від 22.10.1969 року.
144.;Бук червоний;пам`ятка природи;ботанічна;0,01;Зростає в м. Хмельницькому на вулиці Театральній, 24;УЖКГ Хмельницького місквиконкому;Рішенням ОВК № 358-р від 22.10.1969 року.
145.;Горіх чорний;пам`ятка природи;ботанічна;0,02;Зростає в м. Хмельницькому по вулиці илипчика, 5 ;УЖКГ Хмельницького місквиконкому;Рішенням ОВК № 213 від 14.07.1977 року.
146.;Тюльпанове дерево;пам`ятка природи;ботанічна;0,01;На території дитячого садка в с. Райківці  Хмельницького р-ну;Райковецька сільська рада;Рішенням ОВК № 171 від 16.10.1991 року.
147.;Букові дерева ;пам`ятка природи;ботанічна;0,1;Зростають в лісовому масиві поблизу с. Кутківці кв. 3 вид. 10;Кутковецька сільська рада Чемеровецький р-н;Рішення 14 сесії облради від 25.12.1992 р.№ 7
148.;Дуб звичайний;пам`ятка природи;ботанічна;0,1;Зростає поблизу с.Чорна, урочище «Середня дубина» кв.1;Чорнянська сільська рада Чемеровецького р-ну;Рішенням облвиконкому від 04.09.1982 р. № 278
149.;Циківська дубина;пам`ятка природи;ботанічна;19,3;Циківський розсадник, кв. 24 вид. 14;ДП «Кам’янець-Подільський лісгосп»;Рішенням обласної ради від 1.11.1996 року №2
150.;Дубовий ліс ;пам`ятка природи;ботанічна;4,8;Зростає в лісовому масиві кв.2 вид. 2, кв.9.поблизу с. Слобідка-Смотрицька Чемеровецького р-ну;ДП «Кам’янець-Подільський лісгосп».;Рішенням облвиконкому від 16.10.1991 р. № 177
151.;Ялина звичайна;пам`ятка природи;ботанічна;0,5;"Урочище ""Вербівці"" Грицівське лісництво кв. 25, вид. 12. ";ДП «Старокостянтинівський лісгосп»;Розпорядженням облвиконкому № 156р-б від 11.06.1970 р.
152.;Модрина європейська;пам`ятка природи;ботанічна;2,7;"Урочище ""Тростянець"" Грицівське лісництво  кв.60, діл. 10.";ДП «Старокостянтинівський лісгосп».;Розпорядженням облвиконкому від 11.06.1970 р. № 156 р-б
153.;Модрина європейська;пам`ятка природи;ботанічна;0,8;"Урочище ""Вербівці"" Грицівське лісництво кв. 18 діл. 10 ";ДП «Старокостянтинівський лісгосп».;Розпорядженням облвиконкому від 11.06.1970 р. № 156 р-б
154.;Модрина європейська;пам`ятка природи;ботанічна;0,5;"Урочище ""Вербівці"" Грицівське лісництво кв. 25  діл. 11 ";ДП «Старокостянтинівський лісгосп».;Розпорядженням облвиконкому від 11.06.1970 р. № 156 р-б
155.;Дуб черешчатий;пам`ятка природи;ботанічна;9,1;Кам’янківське лісництво кв. 55 діл. 13 ;ДП «Шепетівський лісгосп».;Рішенням Облвиконкому від 15.10.1986 р. № 225
156.;Модрина європейська;пам`ятка природи;ботанічна;0,6;"Урочище ""Вербівці"" Грицівське лісництво кв. 19, діл. 3 ";ДП «Старокостянтинівський лісгосп»..;Розпорядженням облвиконкому від 11.06.1970 р. № 156 р-б
157.;Вербовецькі дуби;пам`ятка природи;ботанічна;0,2;с.  Вербівці Шепетівського району.;Вербовецька сільська рада;Рішенням 22 сесії обласної ради від 21.03.2002 р. № 11
158.;Сосна Веймутова;пам`ятка природи;ботанічна;1;Климентовецьке лісництво  кв. 71, діл. 22 Шепетівського ДЛГ.;ДП «Шепетівський лісгосп»;Розпорядженням облвиконкому від 11.06.1970 р. № 156 р – б
159.;Липова алея;пам`ятка природи;ботанічна;20,4;Автошлях Любар-Кременець Шепетівського району.;Служба автомобільних доріг Хмельницької області;Рішенням 17 сесії облради від 17.12.12993 р № 3
160.;Огрудок;пам`ятка природи;ботанічна;8,2;В північній частині с. Велика Медведівка в урочищі „Огрудок”;Хролинська сільська рада;Рішенням 11 сесії обласної ради від 30.03.2004 р. № 22-11/2004
161.;Дубовий гай;пам`ятка природи;ботанічна;3,7;На території Шепетівського міського водозбору в західній частині міста.;Шепетівська міська рада;Рішенням 11 сесії обласної ради від 30.03.2004 р. № 22-11/2004
162.;Алея каштана і бука європейського;пам`ятка природи;ботанічна;0,9;с. Скаржниці Ярмолинецького район у;Скаржинецька сільська рада;Розпорядженням облвиконкому від 22.10.1969 р. № 358
