№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ;;;;;
38;«Дуб Лемме»  ;пам`ятка природи;ботанічна;0,011;м. Одеса,  вул. Чорноморська,6;Комунальне підприємство «Міськзелентрест»;Рішення облради від 24.02.2010р. №1042-У;;;;;
39;«Липа Лемме»;пам`ятка природи;ботанічна;0,014;м. Одеса, вул. Чорноморська,4;Комунальне підприємство «Міськзелентрест»;Рішення облради від 24.02.2010 р. №1042-У;;;;;
40;"""Груша Адамівська""";пам`ятка природи;ботанічна;0,01;;;Рішення облради від 09.11.2012 р. №630-VІ;;;;;
;Разом пам’яток природи ботанічних ;40;;10,2552;;;;;;;;
;Всього пам`яток природи місцевого значення;47;;11,1852;;;;;;;;
1. ;Парк ім. Т.Г. Шевченко ;парк – пам’ятка садово-паркового мистецтва;;44,3597;м. Одеса, вул. Маразліївська ;Комунальне підприємство«Центральний парк культури та відпочинку ім. Т.Г. Шевченка»;Рішення облвиконкому від 18.05.72 р. №234, від 02.10.84 р. № 493, рішення облради від 29.05.2009 р. №  860-У;;;;;
2. ;«Дюківський сад»               ;парк – пам’ятка садово-паркового мистецтва;;26,6653;м. Одеса,вул. Розкидайлівська, 56 ;ТОВ «Катюша»;Рішення облвиконкому від 18.05.72 р.                № 234, рішення облради 29.05.2009 р.               № 860-У;;;;;
3. ;Парк ім. Ленінського комсомолу  ;парк – пам’ятка садово-паркового мистецтва;;26,7;м. Одеса, вул. Мельницька, 32 б ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р.              № 234, від 02.10.84 № 493 ;;;;;
4.;Парк «Міський сад» ;парк – пам’ятка садово-паркового мистецтва;;1,86;м. Одеса, вул. Дерибасовська, 22 ;Комунальне підприємство «Міськзелентрест» ;Рішення облвиконкому від 18.05.72 р.              № 234, від 02.10.84  р. № 493 ;;;;;
5. ;Парк ім. Котовського  ;парк – пам’ятка садово-паркового мистецтва;;16,8;м. Одеса, Миколаївська дорога, 172 а ;Комунальне підприємство «Міськзелентрест»;Рішення облвиконкому від 18.05.72 р.              № 234, від 02.10.84 р. № 493 ;;;;;
