№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
203;Веселе;заказник;гідрологічний;60;Бахмацький район,                             кв. 16, 17 Бахмацького лісництва ;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
204;Гайворонське;заказник;гідрологічний;117;Бахмацький район,                                   с. Гайворон ;Гайворонська сільська рада Бахмацького району;рішення Чернігівської обласної ради від 27.12.2001 року
205;Довге;заказник;гідрологічний;25;Бахмацький район,                              кв. 1, 2 Бахмацького лісництва ;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
206;Кропивне;заказник;гідрологічний;75;Бахмацький район,                                  с. Кропивне;Кропивнянська сільська рада Бахмацького району;"рішення Чернігівського облвиконкому від 24.12.1979 року № 561; рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
207;Кучугурське;заказник;гідрологічний;24;Бахмацький район,                                кв. 24, 25 Батуринського лісництва ;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 164"
208;Левищина;заказник;гідрологічний;16;Бахмацький район,                                  кв. 18, 19 Бахмацького лісництва Борзнянського держлісгоспу;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 165"
209;Максимове;заказник;гідрологічний;13;Бахмацький район,                                кв. 8 Батуринського лісництва ;"ДП ""Борзнянське лісове господарство""";"рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 166"
210;Митченківське;заказник;гідрологічний;60;Бахмацький район,                                  с. Митченки ;Митченківська сільська рада Бахмацького району;"рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 167"
211;Обмачівське;заказник;гідрологічний;210;Бахмацький район,                                  с. Обмачів  ;Обмачівська сільська рада Бахмацького району;"рішення Чернігівського облвиконкому від 27.12.1984 року № 454; рішення Чернігівського облвиконкому від 28.08.1989 року № 168"
212;Острів;заказник;гідрологічний;170,5;Бахмацький район,                                   с. Бахмач  ;Бахмацька сільська рада Бахмацького району;рішення Чернігівської обласної ради від 27.12.2001 року
