№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
29.   ;«Правий берег Молочного лиману»;заказник;ботанічний;4;Якимівський р-н, околиця с.Шелюги;Шелюгівська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
30.   ;«Цілинна балка»;заказник;ботанічний;5;м.Запоріжжя, на околиці с.Малишевка;Українська дослідна станція олійних культур;Рішення Запорізького облвиконкому від 2.06.1987р. №207
31.   ;«Балка Виноградна»;заказник;ботанічний;5;Запорізький р-н, обласна сільськогосподарська дослідницька станція;Запорізька обласна дослідницька станція;Рішення Запорізького облвиконкому від 2.06.1987р. №207
32.   ;«Цілинна ділянка»;заказник;ботанічний;5;Василівський р-н, біля с.Кам’янське;Кам`янська с/р;Рішення Запорізького облвиконкому від 28.05.1980р. №253
33.   ;«Балка Янчур»;заказник;ботанічний;5;Куйбишевський р-н, с.Сміле;Смілівська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
34.   ;Ділянка «Ясне»;заказник;ботанічний;5;Василівський р-н, біля с.Ясна Поляна і с.Орлянське;Орлянська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
35.   ;«Балка Тупік»;заказник;ботанічний;5;Василівський р-н, околиця м.Василівка;Василівська міська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
36.   ;«Правий берег Молочного лиману»;заказник;ботанічний;5;Якимівський р-н, с.Ленінське;Радивонівська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
37.   ;«Балка Домузгла»;заказник;ботанічний;5;Приазовський р-н, с.Добрівка,;Добрівська сільська рада;Рішення Запорізького облвиконкому від 28.05.1980р. №253
38.   ;«Цілинна ділянка»;заказник;ботанічний;5;Василівський р-н, біля с.Скельки;Скельківська сільська рада;Рішення виконкому Запорізької облради від 28.05.980 № 253
39.   ;«Балка з степовою рослинністю»;заказник;ботанічний;5,7;Кам’янко Дніпровський р-н, Заповітненська сільська рада;Заповітненська сільська рада;Рішення Запо-різького обл-виконкому від 9.10.1990р. №281
40.   ;«Балка безімена» (охоронна зона 30 м);заказник;ботанічний;5,7;Новомиколаївський район, на межі сівообігів №1 і №2;Різдвянівська сільська рада;Розпорядження Представника Президента від 2.10.1992р. №321
41.   ;«Цілинна ділянка Могили» (охоронна зона 30 м);заказник;ботанічний;6;Вільнянський р-н,  на північний захід від с.Терсянка;Привільненська сільська рада;Розпорядження Представника Президента від 2.10.1992р. №321
42.   ;«Балка Тисина» (охоронна зона 30 м);заказник;ботанічний;6;Вільнянський р-н, 3 км на північ від с.Василькове;Привільненська сільська рада;Розпорядження Представника Президента від 2.10.1992р. №321
