№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
6;Балка Орлова;заказник;ботанічний;9,4;с. Василівка Дніпропетровського району;Навчально-дослідне господарство “Самарський”;Рішення облвиконкому 09.10.1979 №568
7;Балка Липова;заказник;ботанічний;3,1;с. Василівка Дніпропетровського району;Навчально-дослідне господарство “Самарський”;Рішення облвиконкому 22.06.1972 №391
8;Балка Осипова;заказник;ботанічний;14,4;с. Василівка Дніпропетровського району;Навчально-дослідне господарство “Самарський”;Рішення облвиконкому 22.06.1972 №391
9;Балка Бубликова;заказник;ботанічний;11,3;с. Василівка Дніпропетровського району;Навчально-дослідне господарство “Самарський”;Рішення облвиконкому 09.10.1979 №568
10;Балка Водяна;заказник;ботанічний;5;с. Преображенка Юр'ївського району;Юр’ївська райдержадміністрація;Рішення облвиконкому 09.10.1979 №568
11;Урочище Балка Климова;заказник;ботанічний;272;Бородаївське лісництво кв.4-8 ;Верхньодніпровський держлісгосп;Рішення облвиконкому 21.07.1977 №№473 /зміни розпорядження 19.12.1995 №50-Р/
12;Урочище Балка Гостра;заказник;ботанічний;175;с. Суслівка Верхньодніпровського району,  Бородаївське лісництво кв.2,3;Верхньодніпровський держлісгосп;Рішення облвиконкому 21.07.1977 №473
13;Балка Ягідна;заказник;ботанічний;32;с. Ягідне Новомосковського  району;Новомосковська райдержадміністрація;Рішення облвиконкому 09.10.1979 №568 /зміни  розпорядження 19.12.1995 №50-Р
14;"""Житлова балка""";заказник;ботанічний;397;Криничанський район;Криничанська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
15;"""Верхньобазавлуцький""";заказник;ботанічний;786;Криничанський район;Криничанська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
16;"""Витоки річки Базавлук""";заказник;ботанічний;671;Криничанський район;Криничанська райдержадміністрація;Рішення Дніпропетровської облради від 21.06.2013 №440-19/VI
17;"""Середньобазавлуцький""";заказник;ботанічний;1413;Криничанський район;Криничанська райдержадміністрація;Рішення Дніпропетровської облради від 27.12.2013 №512-23/VI
18;"""Витоки річки Саксагань""";заказник;ботанічний;418;Криничанський район;Криничанська райдержадміністрація;Рішення Дніпропетровської обласної ради від 05.12.2014 №597-28/VI
19;"""Балка Зміїна""";заказник;ботанічний;146;Дніпропетровський район;Дніпроретровська райдержадміністрація;Рішення Дніпропетровської обласної ради від 20.06.2014 №550-26/VI
;Разом заказників ботанічних;19;;4710;;;
1;Василівська колонія сірих чапель;заказник;орнітологічний;144;с. Василівка Новомосковського району;Новомосковський  військлісгосп;Рішення облвиконкому 09.10.1979 №568
