№ з.п.;Назва території чи об’єкта ПЗФ;Категорія ;Тип;Площа, га;Місце розташування  території чи об`єкту ПЗФ;Назва установи, підпрємства, організації, землекористувача (землевласника), у віданні якого знаходиться територія чи об’єкт ПЗФ;Рішення, згідно з яким створено (змінено) дану територію чи об’єкт ПЗФ
18;“Цілина”;заказник;Ботанічний;7,9;Долинський р-н, поблизу с.Іванівка;ДСДЛЦ “Веселі Боковеньки”;Рішенням Кіровоградської обласної ради №198 від 17.11.2000 р.
;Разом заказників ботанічних;18;;883,4;;;
1;“Аджамський”;заказник;Орнітологічний;67,4;Кіровоградський р-н, поблизу с.Аджамка;Кіровоградська районна державна адміністрація;Рішенням Кіровоградської обласної ради №185 від 24.07.1991 р.
2;“Заплава Малої Висі”;заказник;Орнітологічний;2;Маловисківський р-н, поблизу с.Краснопілка;Маловисківська районна державна адміністрація;Рішенням Кіровоградської обласної ради №71 від 11.10.96р.
3;“Петровський”;заказник;Орнітологічний;397;Петровський р-н, смт Петрово, с. Богданівка;Петрівська районна державна адміністрація;Рішенням Кіровоградської обласної ради №116 від 28.01.2000 р.
4;“Шмалієвський”;заказник;Орнітологічний;20;Долинський р-н, поблизу с.Варварівка;Долинська районна державна адміністрація;Рішенням Кіровоградської обласної ради №92 від 29.07.1997 р.
5;"""Урочище Грабовате""";заказник;Орнітологічний;250;Олександрівський район;Олександрівська районна державна адміністрація;Рішенням Кіровоградської обласної ради №443 від 15.02.2013 р.
;Разом заказників орнітологічних ;5;;736,4;;;
1;“Явдокимівський”;;Ентомологічний;4,3;Новоукраїнський р-н, поблизу м.Новоукраїнка;Новоукраїнська районна державна адміністрація;Рішенням Кіровоградської обласної ради №214 від 17.12.1993 р.
;Разом заказників ентомологічних;1;;4,3;;;
;Всього заказників місцевого значення;83;;12765;;;
1;“Бірзуловські горби”;пам`ятка природи;Комплексна;1,7;Маловисковський р-н, поблизу с.Комсомольське;Маловисківська районна державна адміністрація;Рішенням Кіровоградського облвиконкому №233 від 09.06.1971 р.
2;“Кам’яна стінка”;пам`ятка природи;Комплексна;18;Олександрійський р-н, поблизу с.Андріївка;Олександрійська районна державна адміністрація;Рішенням Кіровоградської обласної ради №47 від 19.05.1995 р.
3;“Козацька скеля”;пам`ятка природи;Комплексна;0,01;Добровеличківський р-н, поблизу с.Федорівка;Добровеличківська районна державна адміністрація;Рішенням Кіровоградської обласної ради №214 від 17.12.1993 р.
4;“Острів Обеліск”;пам`ятка природи;Комплексна;36;Світловодський р-н, Кременчуцьке водосховище;Світловодська районна державна адміністрація;Рішенням Кіровоградської обласної ради №31 від 13.01.1995 р.
5;“Придніпровські кургани”;пам`ятка природи;Комплексна;0,5;Світловодський р-н, поблизу с.Подорожнє;Світловодська районна державна адміністрація;Рішенням Кіровоградської обласної ради №158 від 28.03.2003 р.
6;“Ташлицькі скелі”;пам`ятка природи;Комплексна;2;Новоукраїнський р-н, поблизу м.Новоукраїнка;Новоукраїнська районна державна адміністрація;Рішенням Кіровоградської обласної ради №214 від 17.12.1993 р.
7;“Маганове”;пам`ятка природи;Комплексна;70;Онуфріївський район поблизу с.Дереївка;Онуфріївська районна державна адміністрація;Рішенням Кіровоградської обласної ради № 425 від 21.03.2008 р.
;Разом пам`яток природи комплексних;7;;128,21;;;
1;“Ганно-Леонтовицька”;пам`ятка природи;Ботанічна;0,5;Устинівський р-н, поблизу с.Ганно-Леонтовичеве;Устинівська районна державна адміністрація ;Рішенням Кіровоградської обласної ради №64 від 25.03.1999 р.
2;“Георгіївський гай”;пам`ятка природи;Ботанічна;5,4;Олександрівський р-н, поблизу с.Нова Осота;ДП “Олександрівський лісгосп”;Розпорядженням представника президента №55 від 01.07.1992р
3;“Дивосил-зілля”;пам`ятка природи;Ботанічна;1;Новомиргородський р-н, с.Бирзулове;Новомиргородська районна державна адміністрація;Рішенням Кіровоградської обласної ради №47 від 19.05.1995 р.
4;“Дуби в Гуріївському лісництві”;пам`ятка природи;Ботанічна;0,5;Долинський р-н, Гуріївське лісництво, кв.15 діл.9;ДП “Долинський лісгосп”;Рішенням Кіровоградського облвиконкому №233 від 09.06.1971 р.
5;“Дуб-велетень”;пам`ятка природи;Ботанічна;0,01;Голованівський р-н, Голованівське лісництво, кв.20;ДП “Голованівський лісгосп”;Рішенням Кіровоградського облвиконкому №353 від 30.12.1989 р.
6;“Дуби-велетні”;пам`ятка природи;Ботанічна;6,6;м. Знам’янка;Знам’янська міська рада;Рішенням Кіровоградського облвиконкому № 233 від 09.06.1971 р.
7;“Дуби-велетні”;пам`ятка природи;Ботанічна;3,2;м. Знам’янка;ДЗ “Відділкова лікарня станції Знам’янка” ДП “Одеська залізниця”;Рішенням Кіровоградського облвиконкому № 233 від 09.06.1971 р.
8;“Дуби-велетні”;пам`ятка природи;Ботанічна;0,4;Олександрівський р-н, Лісн.Червононерубаївське;ДП “Олександрівський лісгосп”;Рішенням Кіровоградського облвиконкому № 233 від 09.06.1971 р.
9;“Жовтий льон”;пам`ятка природи;Ботанічна;20,3;Олександрівський р-н,                          с. Триліси;ДП “Олександрівський лісгосп”;Розпорядженням представника президента №55 від 01.07.1992р
10;“Каштан”;пам`ятка природи;Ботанічна;0,01;Онуфріївський р-н,                смт. Онуфріївка;КД УДППЗ“Укрпошта”;Рішенням Кіровоградської обласної ради №187 від 19.02.1993 р.
11;“Ковалівська”;пам`ятка природи;Ботанічна;0,8;Устинівський р-н,  поблизу смт Устинівка;Устинівська районна державна адміністрація;Рішенням Кіровоградської обласної ради №132 від 20.02.1998 р.
12;“Ковилові горби”;пам`ятка природи;Ботанічна;7;Знам’янський р-н,  поблизу с. Іванківці;Знам’янська районна державна адміністрація;Рішенням Кіровоградської обласної ради №31 від 13.02.1995 р.
13;“Кудинове”;пам`ятка природи;Ботанічна;13;Знам’янський р-н, поблизу                         с. Іванківці;Знам’янська районна державна адміністрація;Рішенням Кіровоградської обласної ради №31 від 13.02.1995 р.
14;“Макарівський”;пам`ятка природи;Ботанічна;6,3;Бобринецький р-н,                          поблизу с. Солонцюватка;Бобринецька районна державна адміністрація;Рішенням Кіровоградського облвиконкому №353 від 30.12.1989 р.
